iter	Passed	Remaining
415	2699	1843
416	2706	1836
417	2711	1829
418	2718	1822
419	2724	1816
420	2731	1809
421	2736	1802
422	2743	1796
423	2750	1790
424	2756	1783
425	2761	1776
426	2767	1769
427	2773	1762
428	2781	1756
429	2786	1749
430	2792	1742
431	2797	1735
432	2803	1728
433	2810	1722
434	2815	1715
435	2822	1708
436	2827	1701
437	2833	1694
438	2838	1687
439	2844	1680
440	2851	1674
441	2857	1668
442	2863	1661
443	2869	1654
444	2875	1647
445	2881	1640
446	2886	1633
447	2892	1626
448	2898	1620
449	2903	1613
450	2910	1606
451	2916	1599
452	2923	1594
453	2931	1588
454	2937	1581
455	2942	1574
456	2948	1567
457	2953	1560
458	2959	1553
459	2964	1546
460	2970	1540
461	2977	1533
462	2983	1527
463	2989	1520
464	2996	1514
465	3001	1507
466	3007	1500
467	3014	1494
468	3021	1488
469	3027	1481
470	3033	1474
471	3039	1468
472	3045	1461
473	3052	1455
474	3059	1449
475	3065	1442
476	3071	1435
477	3077	1429
478	3082	1422
479	3088	1415
480	3094	1408
481	3100	1402
482	3106	1395
483	3112	1389
484	3119	1383
485	3126	1376
486	3133	1370
487	3139	1363
488	3145	1357
489	3150	1350
490	3157	1343
491	3162	1337
492	3168	1330
493	3175	1324
494	3181	1317
495	3188	1311
496	3194	1304
497	3202	1298
498	3207	1292
499	3213	1285
500	3219	1278
501	3225	1272
502	3230	1265
503	3236	1258
504	3242	1252
505	3249	1245
506	3255	1239
507	3262	1233
508	3268	1226
509	3274	1219
510	3280	1213
511	3285	1206
512	3291	1199
513	3297	1193
514	3303	1186
515	3309	1180
516	3315	1173
517	3323	1167
518	3328	1160
519	3334	1154
520	3340	1147
521	3346	1141
522	3351	1134
523	3357	1127
524	3363	1121
525	3369	1114
526	3375	1108
527	3381	1101
528	3388	1095
529	3394	1088
530	3400	1082
531	3405	1075
532	3411	1068
533	3416	1062
534	3423	1055
535	3428	1049
536	3435	1042
537	3442	1036
538	3450	1030
539	3456	1024
540	3462	1017
541	3468	1011
542	3474	1004
543	3479	997
544	3485	991
545	3491	984
546	3497	978
547	3502	971
548	3509	965
549	3516	959
550	3522	952
551	3528	946
552	3535	939
553	3541	933
554	3546	926
555	3552	920
556	3558	913
557	3565	907
558	3571	900
559	3577	894
560	3585	888
561	3591	881
562	3597	875
563	3603	868
564	3609	862
565	3614	855
566	3620	849
567	3626	842
568	3632	836
569	3639	829
570	3645	823
571	3651	817
572	3658	810
573	3665	804
574	3671	798
575	3676	791
576	3681	784
577	3687	778
578	3693	771
579	3698	765
580	3704	758
581	3710	752
582	3717	746
583	3723	739
584	3729	733
585	3735	726
586	3740	720
587	3746	713
588	3752	707
589	3757	700
590	3764	694
591	3769	687
592	3777	681
593	3783	675
594	3789	668
595	3795	662
596	3800	655
597	3806	649
598	3811	642
599	3817	636
600	3823	629
601	3829	623
602	3835	616
603	3842	610
604	3848	604
605	3854	597
606	3859	591
607	3865	584
608	3870	578
609	3877	572
610	3883	565
611	3888	559
612	3894	552
613	3900	546
614	3906	539
615	3913	533
616	3921	527
617	3928	521
618	3933	514
619	3939	508
620	3944	501
621	3950	495
622	3956	489
623	3963	482
624	3970	476
625	3977	470
626	3982	463
627	3987	457
628	3993	450
629	4000	444
630	4006	438
631	4011	431
632	4017	425
633	4023	418
634	4029	412
635	4036	406
636	4044	399
637	4050	393
638	4056	387
639	4061	380
640	4067	374
641	4073	368
642	4079	361
643	4085	355
644	4090	348
645	4096	342
646	4103	336
647	4109	329
648	4116	323
649	4121	317
650	4127	310
651	4133	304
652	4139	297
653	4145	291
654	4151	285
655	4156	278
656	4162	272
657	4171	266
658	4177	259
659	4183	253
660	4189	247
661	4195	240
662	4201	234
663	4206	228
664	4212	221
665	4231	216
666	4239	209
667	4245	203
668	4251	196
669	4257	190
670	4262	184
671	4268	177
672	4273	171
673	4279	165
674	4286	158
675	4291	152
676	4297	146
677	4304	139
678	4311	133
679	4317	126
680	4323	120
681	4328	114
682	4334	107
683	4340	101
684	4346	95
685	4352	88
686	4358	82
687	4364	76
688	4370	69
689	4377	63
690	4383	57
691	4389	50
692	4395	44
693	4400	38
694	4406	31
695	4412	25
696	4417	19
697	4423	12
698	4430	6
699	4437	0
